Id,info
1, 60 фт.
2, На себя (30-фт. радиус)
3, На себя (30-фт. радиус) 
4, На себя 
5, 30 фт.
6, Касание
7, На себя
8, 60 фт. 
9, 30 фт. 
10, 120 фт.
11, Касание 
12, 300 фт.
13, Особая
14, На себя (5 миль радиус) 
15, На себя (15-фт. куб)
16, 150 фт.
17, 10 фт.
18, На себя 100 фт.
19, В пределах видимости
20, 90 фт.
21, На себя (10-фт. радиус)
22, На себя (15-фт. радиус)
23, 5 фт.
24, на себя
25, 500 фт.
26, 100 фт.
27, На себя (60-фт. конус)
28, На себя (полусфера с радиусом 10 фт.)
29, 1 миля
30, На себя (100-фт. линия)
31, На себя (15-фт. конус)
32, На себя (60-фт. линия)
33, Неограниченная
34,  90 фт.
35,  60 фт.
36, 500 миль
37, На себя (5-фт. радиус)
38, 1000 фт.
39, На себя 30-фт. конус
40, Без ограничений
41, На себя (30-фт. конус)
