Id,info
1, Мгновенная
2, 10 дней
3," Концентрация, вплоть до 1 минуты"
4," Концентрация, вплоть до 10 минут"
5," Концентрация, вплоть до 1 часа"
6, 1 час
7, 1 минута
8, 24 часа
9, 8 часов
10, Пока не рассеется
11, Мгновенная или 1 час
12," Концентрация, вплоть до 8 часов"
13, 1 раунд
14," Концентрация, вплоть до 2 часов"
15, 10 минут
16, 1 день
17, 7 дней
18, до 8 часов
19, Пока не рассеется или не сработает
20," Концентрация, вплоть до 1 раунда"
21, 30 дней
22," Концентрация, вплоть до 1 дня"
23," Концентрация, вплоть до 24 часов"
24, Особая
25, Вплоть до 1 часа
26," Концентрация, вплоть до 6 раундов"
27, Вплоть до 1 минуты 
28, Вплоть до 8 часов
